noc_title_2016,noc_title_2021,prov,noc_2016,noc_2016_title,skill_level,noc_2021,noc_2021_title,teer_category,noc_version,min_wage,median_wage,max_wage,mean_wage,source,reference_period,revision_date,text
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,15.37,34.56,64.92,38.56,2016 Census,2016,2022-11-16,<b>Max wage: </b>64.92<br><b>Median wage: </b>34.56<br><b>Min wage: </b>15.37<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Quebec,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,17.97,40.07,75.3,46.4,2016 Census,2016,2022-11-16,<b>Max wage: </b>75.3<br><b>Median wage: </b>40.07<br><b>Min wage: </b>17.97<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,21.36,48.85,107.81,61.2,2016 Census,2016,2022-11-16,<b>Max wage: </b>107.81<br><b>Median wage: </b>48.85<br><b>Min wage: </b>21.36<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,25.44,50.24,99.41,61.44,2016 Census,2016,2022-11-16,<b>Max wage: </b>99.41<br><b>Median wage: </b>50.24<br><b>Min wage: </b>25.44<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,18.86,53.46,123.68,69.57,2016 Census,2016,2022-11-16,<b>Max wage: </b>123.68<br><b>Median wage: </b>53.46<br><b>Min wage: </b>18.86<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.46,45.67,104.82,56.42,2016 Census,2016,2022-11-16,<b>Max wage: </b>104.82<br><b>Median wage: </b>45.67<br><b>Min wage: </b>22.46<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,20.25,48.08,109.49,57.3,2016 Census,2016,2022-11-16,<b>Max wage: </b>109.49<br><b>Median wage: </b>48.08<br><b>Min wage: </b>20.25<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,26.06,50.75,88.14,66.03,2016 Census,2016,2022-11-16,<b>Max wage: </b>88.14<br><b>Median wage: </b>50.75<br><b>Min wage: </b>26.06<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Ontario,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,26.89,44.83,83.04,51.93,2016 Census,2016,2022-11-16,<b>Max wage: </b>83.04<br><b>Median wage: </b>44.83<br><b>Min wage: </b>26.89<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Manitoba,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,21.67,39.68,74.27,44.09,2016 Census,2016,2022-11-16,<b>Max wage: </b>74.27<br><b>Median wage: </b>39.68<br><b>Min wage: </b>21.67<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Manitoba,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.37,42.38,79.29,47.25,2016 Census,2016,2022-11-16,<b>Max wage: </b>79.29<br><b>Median wage: </b>42.38<br><b>Min wage: </b>22.37<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Saskatchewan,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,26.57,47.08,101.39,57.18,2016 Census,2016,2022-11-16,<b>Max wage: </b>101.39<br><b>Median wage: </b>47.08<br><b>Min wage: </b>26.57<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Alberta,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.92,49.93,103.41,60.03,2016 Census,2016,2022-11-16,<b>Max wage: </b>103.41<br><b>Median wage: </b>49.93<br><b>Min wage: </b>22.92<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Alberta,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,21.93,48.35,96.81,56.45,2016 Census,2016,2022-11-16,<b>Max wage: </b>96.81<br><b>Median wage: </b>48.35<br><b>Min wage: </b>21.93<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Alberta,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.36,57.99,118.02,64.66,2016 Census,2016,2022-11-16,<b>Max wage: </b>118.02<br><b>Median wage: </b>57.99<br><b>Min wage: </b>22.36<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Alberta,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,23.89,46.65,99.42,59.16,2016 Census,2016,2022-11-16,<b>Max wage: </b>99.42<br><b>Median wage: </b>46.65<br><b>Min wage: </b>23.89<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,British Columbia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,21.76,45.96,88.0,53.75,2016 Census,2016,2022-11-16,<b>Max wage: </b>88.0<br><b>Median wage: </b>45.96<br><b>Min wage: </b>21.76<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,British Columbia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,22.04,39.41,83.11,48.55,2016 Census,2016,2022-11-16,<b>Max wage: </b>83.11<br><b>Median wage: </b>39.41<br><b>Min wage: </b>22.04<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,British Columbia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,20.08,49.93,96.49,57.66,2016 Census,2016,2022-11-16,<b>Max wage: </b>96.49<br><b>Median wage: </b>49.93<br><b>Min wage: </b>20.08<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,British Columbia,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,29.21,41.38,67.84,45.92,2016 Census,2016,2022-11-16,<b>Max wage: </b>67.84<br><b>Median wage: </b>41.38<br><b>Min wage: </b>29.21<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Yukon,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,30.44,37.78,65.93,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>65.93<br><b>Median wage: </b>37.78<br><b>Min wage: </b>30.44<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Northwest Territories,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,35.45,48.3,71.01,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>71.01<br><b>Median wage: </b>48.3<br><b>Min wage: </b>35.45<br>
"0014 - Senior managers - health, education, social and community services and membership organizations",,Nunavut,0014,"Senior managers - health, education, social and community services and membership organizations",0,,,,2016,39.63,55.81,84.65,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>84.65<br><b>Median wage: </b>55.81<br><b>Min wage: </b>39.63<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Newfoundland and Labrador,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,21.86,42.99,68.68,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>68.68<br><b>Median wage: </b>42.99<br><b>Min wage: </b>21.86<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Newfoundland and Labrador,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,27.21,41.56,73.29,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>73.29<br><b>Median wage: </b>41.56<br><b>Min wage: </b>27.21<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Newfoundland and Labrador,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,24.49,41.07,80.7,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>80.7<br><b>Median wage: </b>41.07<br><b>Min wage: </b>24.49<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,21.93,39.78,79.01,48.94,Employment Insurance Survey Data,2020-2021,2022-11-16,<b>Max wage: </b>79.01<br><b>Median wage: </b>39.78<br><b>Min wage: </b>21.93<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,24.51,35.98,64.09,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>64.09<br><b>Median wage: </b>35.98<br><b>Min wage: </b>24.51<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,29.13,37.01,64.51,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>64.51<br><b>Median wage: </b>37.01<br><b>Min wage: </b>29.13<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,28.69,36.14,62.45,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>62.45<br><b>Median wage: </b>36.14<br><b>Min wage: </b>28.69<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,27.51,36.86,63.18,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>63.18<br><b>Median wage: </b>36.86<br><b>Min wage: </b>27.51<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,Nova Scotia,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,13.6,39.71,106.3,65.85,2016 Census,2016,2022-11-16,<b>Max wage: </b>106.3<br><b>Median wage: </b>39.71<br><b>Min wage: </b>13.6<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,New Brunswick,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,18.94,32.13,65.55,40.15,Employment Insurance Survey Data,2020-2021,2022-11-16,<b>Max wage: </b>65.55<br><b>Median wage: </b>32.13<br><b>Min wage: </b>18.94<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,New Brunswick,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,22.13,30.81,52.96,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>52.96<br><b>Median wage: </b>30.81<br><b>Min wage: </b>22.13<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,New Brunswick,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,13.75,31.36,77.51,43.11,2016 Census,2016,2022-11-16,<b>Max wage: </b>77.51<br><b>Median wage: </b>31.36<br><b>Min wage: </b>13.75<br>
"0015 - Senior managers - trade, broadcasting and other services, n.e.c.",,New Brunswick,0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0,,,,2016,22.78,31.02,54.08,,Small Area Estimation,2021,2022-11-16,<b>Max wage: </b>54.08<br><b>Median wage: </b>31.02<br><b>Min wage: </b>22.78<br>
